dataset,feature_strategy,k,classifier,accuracy,precision,recall,f1
second_dataset,all,421796,logistic_regression,0.9812934259754142,0.9688605803255484,0.9938294010889293,0.9811861673535208
second_dataset,all,421796,linear_svm,0.9891323712809549,0.983142037302726,0.9949183303085299,0.9889951289915209
second_dataset,all,421796,multinomial_nb,0.9875289506502761,0.9905005480453051,0.9840290381125227,0.9872541879096868
second_dataset,all,421796,simple_centroid,0.7860324247283093,0.7371794871794872,0.8765880217785844,0.8008622119051567
second_dataset,chi_square,500,logistic_regression,0.9483342241225726,0.9173721639011175,0.9833030852994555,0.9491941135248774
second_dataset,chi_square,500,linear_svm,0.965793693212186,0.9451198332754429,0.9876588021778584,0.9659211927582535
second_dataset,chi_square,500,multinomial_nb,0.9404952788170319,0.9498327759197325,0.9277676950998185,0.9386705839147998
second_dataset,chi_square,500,simple_centroid,0.7327632282202031,0.6873693639892505,0.8355716878402903,0.754259501965924
second_dataset,mutual_information,500,logistic_regression,0.9470871191876002,0.9163279132791328,0.9818511796733213,0.947958647275276
second_dataset,mutual_information,500,linear_svm,0.9636557990379476,0.9411968177101349,0.9876588021778584,0.9638682252922423
second_dataset,mutual_information,500,multinomial_nb,0.9422768572955639,0.9506859473489062,0.9306715063520871,0.9405722670579604
second_dataset,mutual_information,500,simple_centroid,0.7315161232852307,0.6858248957712925,0.8359346642468239,0.7534761982659905
second_dataset,chi_square,1000,logistic_regression,0.9551042223409941,0.9302165692677896,0.9822141560798548,0.9555084745762712
second_dataset,chi_square,1000,linear_svm,0.9704257972563691,0.953732912723449,0.9876588021778584,0.9703994293865906
second_dataset,chi_square,1000,multinomial_nb,0.9511847496882238,0.9623555721207604,0.9372050816696915,0.9496138286134609
second_dataset,chi_square,1000,simple_centroid,0.7454124354177801,0.6975566150178785,0.8497277676950998,0.7661593847160858
second_dataset,mutual_information,1000,logistic_regression,0.9547479066452877,0.9295774647887324,0.9822141560798548,0.9551711966113661
second_dataset,mutual_information,1000,linear_svm,0.970247639408516,0.9521313766596785,0.9891107078039928,0.970268826775859
second_dataset,mutual_information,1000,multinomial_nb,0.950472118296811,0.9650769808486669,0.9328493647912885,0.9486895533407161
second_dataset,mutual_information,1000,simple_centroid,0.7430963833956886,0.6954450729383745,0.847912885662432,0.7641478573765129
